id,title,authors,year,venue,type,doi,url,research_areas,featured
2024-poster-iot-and-humanoid-robotics-for-nex,Poster: Iot and humanoid robotics for next generation motor rehabilitation systems,ext:Stefano Borgo|marco-di-felice|alfonso-esposito|ext:Valeria Seidita|ext:Giulia Spaletta|ext:Roberto Toni|ivan-zyrianoff,2024,2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),conference,https://doi.org/10.1109/DCOSS-IoT61029.2024.00120,https://ieeexplore.ieee.org/abstract/document/10621514/,autonomous-robotic-iot,0
2024-proactive-caching-in-the-edge-cloud-cont,Proactive caching in the edge-cloud continuum with federated learning,ivan-zyrianoff|leonardo-montecchiari|angelo-trotta|lorenzo-gigli|carlos-alberto-kamienski|marco-di-felice,2024,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51664.2024.10454774,https://ieeexplore.ieee.org/abstract/document/10454774/,edge-computing,0
2024-raising-awareness-for-inertial-sensors-b,Raising Awareness for Inertial Sensors-based Keylogging on Smartphones,federico-montori|luca-sciullo|ext:Luca Bedogni,2024,Conference on Information Technology for Social Good,conference,https://doi.org/10.1145/3677525.3678634,https://dl.acm.org/doi/abs/10.1145/3677525.3678634,context-awareness,0
2024-rattle-train-identification-through-audi,Rattle: Train identification through audio fingerprinting,leonardo-ciabattini|luca-sciullo|alfonso-esposito|ivan-zyrianoff|marco-di-felice,2024,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP61445.2024.00028,https://ieeexplore.ieee.org/abstract/document/10595604/,condition-monitoring|context-awareness,0
2024-relativistic-digital-twin-bringing-the-i,Relativistic digital twin: Bringing the IoT to the future,luca-sciullo|ext:Alberto De Marchi|angelo-trotta|federico-montori|luciano-bononi|marco-di-felice,2024,Future Generation Computer Systems,journal,https://doi.org/10.1016/j.future.2023.12.016,https://www.sciencedirect.com/science/article/pii/S0167739X23004788,iot-interoperability,0
2024-trace-analysis-of-electric-micromobility,Trace Analysis of Electric Micromobility and its Application for City Sensing,alfonso-esposito|leonardo-ciabattini|luca-sciullo|marco-montanari|luciano-bononi|marco-di-felice,2024,IEEE International Symposium on Distributed Simulation and Real-Time Applications,conference,https://doi.org/10.1109/DS-RT62209.2024.00015,https://ieeexplore.ieee.org/abstract/document/10937681/,autonomous-robotic-iot|context-awareness,0
2024-water-wastage-detection-in-smart-homes-t,Water Wastage Detection in Smart Homes Through IoT and Machine Learning,ext:Chiara Brunelli|ext:Gianmarco Pappacoda|ivan-zyrianoff|luciano-bononi|marco-di-felice,2024,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51664.2024.10454886,https://ieeexplore.ieee.org/abstract/document/10454886/,iot-interoperability,0
2024-zion-a-scalable-w3c-web-of-things-direct,ZION: A scalable W3C Web of Things directory,ext:Cristiano Aguzzi|lorenzo-gigli|ivan-zyrianoff|ext:Luca Roffia,2024,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51664.2024.10454685,https://ieeexplore.ieee.org/abstract/document/10454685/,iot-interoperability|condition-monitoring,0
2023-2nd-international-workshop-on-the-intern,2nd International Workshop on the Internet of Time-Critical Things (IoTime 2023),ivan-zyrianoff|carlos-alberto-kamienski|ext:Dave Cavalcanti|ext:Daniel Macêdo Batista|ext:Antonio Virdis|lorenzo-gigli,2023,World Forum on Internet of Things,journal,https://doi.org/10.1109/wf-iot58464.2023.10539395,https://ieeexplore.ieee.org/abstract/document/10539395/,autonomous-robotic-iot,0
2023-a-ble-mesh-edge-framework-for-qos-aware,A ble mesh edge framework for qos-aware iot monitoring systems,leonardo-montecchiari|angelo-trotta|ivan-zyrianoff|luciano-bononi|ext:Enrico Natalizio|marco-di-felice,2023,World Forum on Internet of Things,journal,https://doi.org/10.1109/WF-IoT58464.2023.10539544,https://ieeexplore.ieee.org/abstract/document/10539544/,iot-interoperability|autonomous-robotic-iot,0
2023-a-decentralized-oracle-architecture-for,A decentralized oracle architecture for a blockchain-based iot global market,lorenzo-gigli|ivan-zyrianoff|federico-montori|ext:Cristiano Aguzzi|ext:Luca Roffia|marco-di-felice,2023,IEEE Communications Magazine,journal,https://doi.org/10.1109/MCOM.007.2200906,https://ieeexplore.ieee.org/abstract/document/10230033/,iot-interoperability|blockchain-iot,0
2023-a-joint-evaluation-methodology-for-servi,A Joint Evaluation Methodology for Service Quality and User Privacy in Location Based Systems,ext:Luca Bedogni|ext:Chiara Franceschini|federico-montori,2023,Conference on Information Technology for Social Good,conference,https://doi.org/10.1145/3582515.3609524,https://dl.acm.org/doi/abs/10.1145/3582515.3609524,context-awareness,0
2023-a-metadata-assisted-cascading-ensemble-c,A metadata-assisted cascading ensemble classification framework for automatic annotation of open IoT data,federico-montori|ext:Kewen Liao|ext:Matteo De Giosa|ext:Prem Prakash Jayaraman|luciano-bononi|ext:Timos Sellis|ext:Dimitrios Georgakopoulos,2023,IEEE Internet of Things Journal,journal,https://doi.org/10.1109/JIOT.2023.3263213,https://ieeexplore.ieee.org/abstract/document/10087294/,iot-interoperability,0
2023-an-iot-toolchain-architecture-for-planni,"An iot toolchain architecture for planning, running and managing a complete condition monitoring scenario",federico-montori|ivan-zyrianoff|lorenzo-gigli|ext:Alessandro Calvio|ext:Riccardo Venanzi|ext:Simone Sindaco|luca-sciullo|ext:Federica Zonzini|ext:Matteo Zauli|ext:Nicola Testoni|ext:Alessandro Bertacchini|ext:Elisa Londero|ext:Enrico Alessi|marco-di-felice|luciano-bononi|ext:Paolo Bellavista|ext:Luca De Marchi|ext:Alessandro Marzani|ext:Paolo Azzoni|ext:Tullio Salmon Cinotti,2023,IEEE Access,journal,https://doi.org/10.1109/ACCESS.2023.3237971,https://ieeexplore.ieee.org/abstract/document/10019255/,condition-monitoring,0
2023-autonomic-faulty-node-replacement-in-uav,Autonomic faulty node replacement in UAV-assisted wireless sensor networks: a test-bed,leonardo-montecchiari|angelo-trotta|luciano-bononi|marco-di-felice|ext:Enrico Natalizio,2023,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51644.2023.10059801,https://ieeexplore.ieee.org/abstract/document/10059801/,autonomous-robotic-iot,0
2023-design-and-development-of-a-mobile-dapp,Design and development of a mobile dapp for mobile crowdsensing over evm-enabled blockchains,lorenzo-gigli|federico-montori|ext:Giacomo Galletti|luca-sciullo|ext:Luca Bedogni,2023,International Conference on Blockchain and Trustworthy Systems,conference,https://doi.org/10.1145/3628354.3629531,https://dl.acm.org/doi/abs/10.1145/3628354.3629531,blockchain-iot|context-awareness,0
2023-designing-a-hybrid-push-pull-architectur,Designing a hybrid push-pull architecture for mobile crowdsensing using the web of things,luca-sciullo|federico-montori|ivan-zyrianoff|lorenzo-gigli|ext:Davide Tinti|marco-di-felice,2023,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP58114.2023.00081,https://ieeexplore.ieee.org/abstract/document/10207664/,context-awareness,0
2023-distributed-service-discovery-over-heter,Distributed service discovery over heterogeneous robotic systems-of-systems,leonardo-montecchiari|angelo-trotta|lorenzo-gigli|ext:Lorenzo Bellone|marco-di-felice|ext:Enrico Natalizio,2023,2023 19th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),conference,https://doi.org/10.1109/DCOSS-IoT58021.2023.00047,https://ieeexplore.ieee.org/abstract/document/10257223/,autonomous-robotic-iot,0
2023-joint-privacy-and-data-quality-aware-rew,Joint privacy and data quality aware reward in opportunistic Mobile Crowdsensing systems,ext:Luca Bedogni|federico-montori,2023,Journal of Network and Computer Applications,journal,https://doi.org/10.1016/j.jnca.2023.103634,https://www.sciencedirect.com/science/article/pii/S108480452300053X,context-awareness,0
2023-next-generation-edge-cloud-continuum-arc,Next generation edge-cloud continuum architecture for structural health monitoring,lorenzo-gigli|ivan-zyrianoff|ext:Federica Zonzini|ext:Denis Bogomolov|ext:Nicola Testoni|marco-di-felice|ext:Luca De Marchi|ext:Giuseppe Augugliaro|ext:Canio Mennuti|ext:Alessandro Marzani,2023,IEEE Transactions on Industrial Informatics,journal,https://doi.org/10.1109/TII.2023.3337391,https://ieeexplore.ieee.org/abstract/document/10373409/,condition-monitoring,0
2023-optimal-reliable-design-of-energy-effici,Optimal reliable design of energy-efficient Wireless Body Area Networks,ext:Mohammad Ali Raayatpanah|ext:Atefeh Abdolah Abyaneh|ext:Jocelyne Elias|angelo-trotta,2023,Internet of Things,journal,https://doi.org/10.1016/j.iot.2023.100727,https://www.sciencedirect.com/science/article/pii/S2542660523000501,iot-interoperability|autonomous-robotic-iot,0
2023-optimizing-iot-based-human-activity-reco,Optimizing IoT-based human activity recognition on extreme edge devices,angelo-trotta|federico-montori|ext:Giacomo Vallasciani|luciano-bononi|marco-di-felice,2023,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP58114.2023.00023,https://ieeexplore.ieee.org/abstract/document/10207611/,context-awareness,0
2023-privacy-preservation-for-spatio-temporal,Privacy preservation for spatio-temporal data in mobile crowdsensing scenarios,federico-montori|ext:Luca Bedogni,2023,Pervasive and Mobile Computing,journal,https://doi.org/10.1016/j.pmcj.2023.101755,https://www.sciencedirect.com/science/article/pii/S1574119223000135,context-awareness,0
2023-temperature-compensation-in-vibration-ba,Temperature compensation in vibration-based structural health monitoring using neural network regression,ext:Soroosh Kamali|ext:Alessandro Marzani|luca-sciullo|marco-di-felice|ext:Giuseppe Augugliaro|ext:Canio Mennuti,2023,International Conference on System Reliability and Safety,conference,https://doi.org/10.1109/ICSRS59833.2023.10381287,https://ieeexplore.ieee.org/abstract/document/10381287/,condition-monitoring,0
2023-texting-and-driving-recognition-leveragi,Texting and Driving Recognition leveraging the Front Camera of Smartphones,federico-montori|ext:Marco Spallone|ext:Luca Bedogni,2023,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51644.2023.10060838,https://ieeexplore.ieee.org/abstract/document/10060838/,context-awareness,0
2023-the-future-of-ethics-in-ai-challenges-an,The future of ethics in AI: challenges and opportunities,angelo-trotta|ext:Marta Ziosi|ext:Vincenzo Lomonaco,2023,Ai & Society,journal,https://doi.org/10.1007/s00146-023-01644-x,https://link.springer.com/article/10.1007/s00146-023-01644-x,iot-interoperability,0
2023-towards-marketing-4-0-vision-and-survey,Towards marketing 4.0: Vision and survey on the role of IoT and data science,ext:Himadri Sikhar Khargharia|ext:Muhammad Habib ur Rehman|ext:Abhik Banerjee|federico-montori|ext:Abdur Rahim Mohammad Forkan|ext:Prem Prakash Jayaraman,2023,Societies,journal,https://doi.org/10.3390/soc13040100,https://www.mdpi.com/2075-4698/13/4/100,iot-interoperability,0
2023-towards-marketing-4-0-vision-and-survey-2,"Towards Marketing 4.0: Vision and Survey on the Role of IoT and Data Science. Societies 2023, 13, 100",ext:HS Khargharia|ext:MHu Rehman|ext:A Banerjee|federico-montori|ext:ARM Forkan|ext:PP Jayaraman,2023,,journal,,https://www.academia.edu/download/122863285/societies_13_00100_v2.pdf,iot-interoperability,0
2022-6g-to-take-the-digital-divide-by-storm-k,6G to take the digital divide by storm: Key technologies and trends to bridge the gap,ext:Chiara Suraci|ext:Sara Pizzi|federico-montori|marco-di-felice|ext:Giuseppe Araniti,2022,Future Internet,journal,https://doi.org/10.3390/fi14060189,https://www.mdpi.com/1999-5903/14/6/189,iot-interoperability,0
2022-a-hierarchical-architectural-model-for-i,A hierarchical architectural model for iot end-user service composition,federico-montori|ext:Vincenzo Armandi|ext:Luca Bedogni,2022,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC49033.2022.9700603,https://ieeexplore.ieee.org/abstract/document/9700603/,iot-interoperability,0
2022-iot-management-architecture,A management architecture for IoT smart solutions: Design and implementation,ext:Dener Silva|alexandre-heideker|ivan-zyrianoff|ext:João H Kleinschmidt|ext:Luca Roffia|ext:Juha-Pekka Soininen|ext:Carlos A Kamienski,2022,Journal of Network and Systems Management,journal,https://doi.org/10.1007/s10922-022-09648-6,https://link.springer.com/article/10.1007/s10922-022-09648-6,iot-interoperability,1
2022-a-survey-on-the-web-of-things,A survey on the web of things,luca-sciullo|lorenzo-gigli|federico-montori|angelo-trotta|marco-di-felice,2022,IEEE access,journal,https://doi.org/10.1109/ACCESS.2022.3171575,https://ieeexplore.ieee.org/abstract/document/9765991/,iot-interoperability,0
2022-artifact-c3po-converter-of-open-api-spec,Artifact: C3PO-converter of open API specification to WoT objects,ivan-zyrianoff|lorenzo-gigli|federico-montori|ext:Cristiano Aguzzi|ext:Sebastian Kaebisch|marco-di-felice,2022,2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops),conference,https://doi.org/10.1109/PerComWorkshops53856.2022.9767293,https://ieeexplore.ieee.org/abstract/document/9767293/,iot-interoperability,0
2022-blockchain-and-web-of-things-for-structu,Blockchain and web of things for structural health monitoring applications: A proof of concept,lorenzo-gigli|luca-sciullo|federico-montori|ext:Alessandro Marzani|marco-di-felice,2022,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC49033.2022.9700679,https://ieeexplore.ieee.org/abstract/document/9700679/,iot-interoperability|blockchain-iot|condition-monitoring,0
2022-bluetooth-mesh-technology-for-the-joint,Bluetooth mesh technology for the joint monitoring of indoor environments and mobile device localization: A performance study,leonardo-montecchiari|angelo-trotta|luciano-bononi|marco-di-felice,2022,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC49033.2022.9700518,https://ieeexplore.ieee.org/abstract/document/9700518/,iot-interoperability|context-awareness,0
2022-cooperative-cellular-uav-to-everything-c,Cooperative Cellular UAV-to-Everything (C-U2X) communication based on 5G sidelink for UAV swarms,ext:Debashisha Mishra|angelo-trotta|ext:Emiliano Traversi|marco-di-felice|ext:Enrico Natalizio,2022,Computer Communications,journal,https://doi.org/10.1016/j.comcom.2022.06.001,https://www.sciencedirect.com/science/article/pii/S0140366422001967,autonomous-robotic-iot,0
2022-design-and-performance-evaluation-of-mob,Design and performance evaluation of mobile personal big data management system based on ICN,ext:Lijun Chen|luca-sciullo|angelo-trotta,2022,Internet Technology Letters,journal,https://doi.org/10.1002/ITL2.237,https://onlinelibrary.wiley.com/doi/abs/10.1002/itl2.237,iot-interoperability,0
2022-digital-twin-collaborative-platforms-app,Digital twin collaborative platforms: Applications to humans-in-the-loop crafting of urban areas,luciano-bononi|ext:Lorenzo Donatiello|ext:Danila Longo|ext:Martina Massari|federico-montori|ext:Lorenzo Stacchio|ext:Gustavo Marfia,2022,IEEE Consumer Electronics Magazine,journal,https://doi.org/10.1109/MCE.2022.3214944,https://ieeexplore.ieee.org/abstract/document/9920185/,iot-interoperability,0
2022-guest-editorial-an-end-to-end-machine-le,Guest editorial: An end-to-end machine learning perspective on industrial iot,ext:Rita Wouhaybi|ext:Ravikumar Balakrishnan|ext:Navid NaderiAlizadeh|ext:Ahmad Beirami|marco-di-felice|ext:Shadi Noghabi|ext:Anirudh Badam|ext:Shugong Xu,2022,IEEE Internet of Things Magazine,journal,https://doi.org/10.1109/miot.2022.9773141,https://ieeexplore.ieee.org/abstract/document/9773141/,edge-computing|iot-interoperability,0
2022-intelligence-at-the-iot-edge-activity-re,Intelligence at the iot edge: Activity recognition with low-power microcontrollers and convolutional neural networks,ext:Alessandro Ghibellini|luciano-bononi|marco-di-felice,2022,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC49033.2022.9700665,https://ieeexplore.ieee.org/abstract/document/9700665/,context-awareness,0
2022-interoperability-and-scalability-trade-o,Interoperability and scalability trade-offs in open IoT platforms,ext:Dener Ottolini|ivan-zyrianoff|carlos-alberto-kamienski,2022,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC49033.2022.9700622,https://ieeexplore.ieee.org/abstract/document/9700622/,iot-interoperability,0
2022-iot-edge-caching-taxonomy-use-cases-and,"IoT edge caching: taxonomy, use cases and perspectives",ivan-zyrianoff|angelo-trotta|luca-sciullo|federico-montori|marco-di-felice,2022,IEEE Internet of Things Magazine,journal,https://doi.org/10.1109/IOTM.001.2200112,https://ieeexplore.ieee.org/abstract/document/9945834/,condition-monitoring,0
2022-joint-power-control-and-structural-healt,Joint power control and structural health monitoring in industry 4.0 scenarios using eclipse arrowhead and web of things,ext:Carlo Puliafito|lorenzo-gigli|ivan-zyrianoff|federico-montori|ext:Antonio Virdis|ext:Stefano Di Pascoli|ext:Enzo Mingozzi|marco-di-felice,2022,Industrial Cyber-Physical Systems,journal,https://doi.org/10.1109/icps51978.2022.9816975,https://ieeexplore.ieee.org/abstract/document/9816975/,condition-monitoring,0
2022-la-mqtt-location-aware-publish-subscribe,LA-MQTT: Location-aware Publish-subscribe Communications for the Internet of Things,federico-montori|lorenzo-gigli|luca-sciullo|marco-di-felice,2022,ACM Transactions on Internet of Things,journal,https://doi.org/10.1145/3529978,https://dl.acm.org/doi/abs/10.1145/3529978,context-awareness,0
2022-location-contact-tracing-penetration-pri,"Location contact tracing: Penetration, privacy, position, and performance",ext:Luca Bedogni|federico-montori|ext:Flora Salim,2022,Digital Government: Research and Practice,journal,https://doi.org/10.1145/3532669,https://dl.acm.org/doi/abs/10.1145/3532669,context-awareness,0
2022-low-latency-anomaly-detection-on-the-edg,Low-latency anomaly detection on the edge-cloud continuum for industry 4.0 applications: The SEAWALL case study,ext:Lorenzo Bacchiani|ext:Giuseppe De Palma|luca-sciullo|ext:Mario Bravetti|marco-di-felice|ext:Maurizio Gabbrielli|ext:Gianluigi Zavattaro|ext:Roberto Della Penna,2022,IEEE Internet of Things Magazine,journal,https://doi.org/10.1109/IOTM.001.2200120,https://ieeexplore.ieee.org/abstract/document/9945851/,edge-computing,0
2022-open-history-mapstatus-of-the-project,Open History Map–Status of the Project,marco-montanari|ext:Lucia Marsicano|ext:Raffaele Trojanis|ext:Silvia Bernardoni|lorenzo-gigli,2022,Archeomatica,journal,,http://mediageo.it/ojs/index.php/archeomatica/article/download/1873/1672,iot-interoperability,0
2022-pedometers-for-smartphones-analysis-and,Pedometers for Smartphones: Analysis and Comparison of Real-Time Algorithms,ext:Giacomo Neri|federico-montori|lorenzo-gigli|ext:Luca Bedogni|marco-di-felice|luciano-bononi,2022,World Forum on Internet of Things,journal,https://doi.org/10.1109/WF-IoT54382.2022.10152104,https://ieeexplore.ieee.org/abstract/document/10152104/,context-awareness,0
2022-seamless-integration-of-restful-web-serv,Seamless integration of RESTful web services with the web of things,ivan-zyrianoff|lorenzo-gigli|federico-montori|ext:Cristiano Aguzzi|ext:Sebastian Kaebisch|marco-di-felice,2022,2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops),conference,https://doi.org/10.1109/PerComWorkshops53856.2022.9767531,https://ieeexplore.ieee.org/abstract/document/9767531/,iot-interoperability|condition-monitoring,0
2022-seawall-seamless-low-latency-cloud-platf,SEAWALL: Seamless low latency cloud platforms for the industry 4.0,ext:Lorenzo Bacchiani|ext:Giuseppe De Palma|luca-sciullo|ext:Mario Bravetti|ext:Marco De Felice|ext:Maurizio Gabbrielli|ext:Gianluigi Zavattaro|ext:Roberto Della Penna|ext:Corrado Iorizzo|ext:Andrea Livaldi|ext:Luca Magnotta|ext:Mirko Orsini,2022,Cloudification of the Internet of Things,journal,https://doi.org/10.1109/ciot53061.2022.9766643,https://ieeexplore.ieee.org/abstract/document/9766643/,edge-computing|iot-interoperability|condition-monitoring,0
2022-the-1st-international-workshop-on-the-in,The 1st International Workshop on the Internet of Time-Critical Things (IoTime 2022),carlos-alberto-kamienski|ext:Dave Cavalcanti|ext:Daniel Batista|ivan-zyrianoff|ext:Antonio Virdis,2022,World Forum on Internet of Things,journal,https://doi.org/10.1109/WF-IoT54382.2022.10152076,https://ieeexplore.ieee.org/abstract/document/10152076/,edge-computing,0
2022-towards-smart-cities-for-tourism-the-pol,Towards Smart Cities for Tourism: the POLIS-EYE Project,ext:Alessandro Seravalli|ext:Mariaelena Busani|ext:Simone Venturi|ext:Arianna Brutti|ext:Carlo Petrovich|ext:Angelo Frascella|ext:Fabrizio Paolucci|marco-di-felice|ext:Michele Lombardi|ext:Elena Bellodi|ext:Riccardo Zese|ext:Francesco Bertasi|ext:Elia Balugani|ext:Alket Cecaj|ext:Rita Gamberini|ext:Marco Mamei|ext:Marco Picone,2022,2022 IEEE International Smart Cities Conference (ISC2),conference,https://doi.org/10.1109/ISC255366.2022.9922095,https://ieeexplore.ieee.org/abstract/document/9922095/,context-awareness,0
2022-uhura-a-software-framework-for-swarm-man,Uhura: a software framework for swarm management in multi-radio robotic networks,leonardo-montecchiari|ext:Dario Albani|angelo-trotta|marco-di-felice|ext:Enrico Natalizio,2022,International Conference on Distributed Computing in Sensor Systems,conference,https://doi.org/10.1109/DCOSS54816.2022.00049,https://ieeexplore.ieee.org/abstract/document/9881733/,autonomous-robotic-iot,0
2022-wot-on-the-extreme-edge-wottee-enabling,Wot on the extreme edge (wottee): Enabling w3c web of things for micro-controllers,luca-sciullo|ext:Cristian Castiglione|angelo-trotta|marco-di-felice,2022,World Forum on Internet of Things,journal,https://doi.org/10.1109/WF-IoT54382.2022.10152179,https://ieeexplore.ieee.org/abstract/document/10152179/,iot-interoperability,0
2022-wotwins-automatic-digital-twin-generator,Wotwins: Automatic digital twin generator for the web of things,luca-sciullo|angelo-trotta|federico-montori|luciano-bononi|marco-di-felice,2022,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",conference,https://doi.org/10.1109/WoWMoM54355.2022.00095,https://ieeexplore.ieee.org/abstract/document/9842775/,iot-interoperability,0
2021-a-soil-moisture-calibration-service-for,A soil moisture calibration service for iot-based smart irrigation,ext:Ivan Dimitry Zyrianoff|ext:André Torre Neto|ext:Dener Silva|ext:Tullio Salmon Cinotti|marco-di-felice|carlos-alberto-kamienski,2021,2021 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),conference,https://doi.org/10.1109/MetroAgriFor52389.2021.9628393,https://ieeexplore.ieee.org/abstract/document/9628393/,iot-interoperability,0
2021-a-toolchain-architecture-for-condition-m,A toolchain architecture for condition monitoring using the eclipse arrowhead framework,federico-montori|ivan-zyrianoff|lorenzo-gigli|ext:Riccardo Venanzi|ext:Simone Sindaco|ext:Cristiano Aguzzi|ext:Federica Zonzini|ext:Matteo Zauli|ext:Nicola Testoni|ext:Enrico Alessi|marco-di-felice|luciano-bononi|ext:Paolo Bellavista|ext:Luca De Marchi|ext:Tullio Salmon Cinotti,2021,Annual Conference of the IEEE Industrial Electronics Society,conference,https://doi.org/10.1109/IECON48115.2021.9589532,https://ieeexplore.ieee.org/abstract/document/9589532/,iot-interoperability|condition-monitoring,0
2021-inform-a-tool-for-classification-and-sem,INFORM: a tool for classification and semantic annotation of IoT datastreams,ext:Alireza Hassani|federico-montori|ext:Kewen Liao|ext:Pari Delir Haghighi|ext:Prem Prakash Jayaraman|ext:Dimitrios Georgakopoulos|ext:Matteo De Giosa|ext:Arkady Zaslavsky,2021,World Forum on Internet of Things,journal,https://doi.org/10.1109/WF-IoT51360.2021.9594994,https://ieeexplore.ieee.org/abstract/document/9594994/,iot-interoperability,0
2021-integration-of-ai-iot-and-edge-computing,"Integration of AI, IoT and edge-computing for smart microgrid energy management",ext:Amal Nammouchi|ext:Phil Aupke|ext:Andreas Kassler|ext:Andreas Theocharis|ext:Viviana Raffa|marco-di-felice,2021,2021 IEEE International Conference on Environment and Electrical Engineering and 2021 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe),conference,https://doi.org/10.1109/EEEIC/ICPSEurope51590.2021.9584756,https://ieeexplore.ieee.org/abstract/document/9584756/,edge-computing|iot-interoperability,0
2021-interoperability-in-open-iot-platforms-w,Interoperability in open iot platforms: Wot-fiware comparison and integration,ivan-zyrianoff|alexandre-heideker|luca-sciullo|carlos-alberto-kamienski|marco-di-felice,2021,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP52413.2021.00043,https://ieeexplore.ieee.org/abstract/document/9556300/,iot-interoperability,0
2021-iot-end-user-composition,Iot end-user service composition via a visual programming interface,federico-montori|ext:Vincenzo Armandi|ext:Luca Bedogni,2021,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP52413.2021.00083,https://ieeexplore.ieee.org/abstract/document/9556272/,iot-interoperability,0
2021-irrigasim-an-irrigation-simulation-proce,"IrrigaSim: An Irrigation Simulation, Processing, and Animation Environment",ext:Ronaldo C Prati|ext:Fabrizio Borelli|ext:Ivan Dimitry Zyrianoff|ext:Dener Silva|ext:Rodrigo Togneri|carlos-alberto-kamienski,2021,2021 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),conference,https://doi.org/10.1109/MetroAgriFor52389.2021.9628455,https://ieeexplore.ieee.org/abstract/document/9628455/,iot-interoperability,0
2021-modeling-an-industrial-revolution-how-to,"Modeling an industrial revolution: How to manage large-scale, complex iot ecosystems?",ext:Géza Kulcsár|ext:Pál Varga|ext:Marek S Tatara|federico-montori|ext:Michel A Inigo|ext:Gianvito Urgese|ext:Paolo Azzoni,2021,IFIP/IEEE Symposium on Integrated Network Management,conference,,https://ieeexplore.ieee.org/abstract/document/9464025/,iot-interoperability,0
2021-modron-a-scalable-and-interoperable-web,Modron: A scalable and interoperable web of things platform for structural health monitoring,ext:Cristiano Aguzzi|lorenzo-gigli|luca-sciullo|angelo-trotta|ext:Federica Zonzini|ext:Luca De Marchi|marco-di-felice|ext:Alessandro Marzani|ext:Tullio Salmon Cinotti,2021,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC49032.2021.9369492,https://ieeexplore.ieee.org/abstract/document/9369492/,iot-interoperability|condition-monitoring,0
2021-open-history-map-cloud-first-infrastruct,OPEN HISTORY MAP-CLOUD FIRST INFRASTRUCTURE FOR DIGITAL HUMANITIES.,marco-montanari|lorenzo-gigli,2021,,journal,,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=20372485&AN=154031365&h=c6fPrlDCJHLYZZifX5iWIRMhzOvxlTTEsOJQeMvdj5%2BHiPGiIfZ3wLIoS0LbEb2p6Ieh3pNEbjua5DOYJxMOxQ%3D%3D&crl=c,iot-interoperability,0
2021-performance-analysis-of-multi-hop-commun,Performance analysis of multi-hop communication based on 5G sidelink for cooperative UAV swarms,ext:Debashisha Mishra|angelo-trotta|marco-di-felice|ext:Enrico Natalizio,2021,International Mediterranean Conference on Communications and Networking,conference,https://doi.org/10.1109/MeditCom49071.2021.9647449,https://ieeexplore.ieee.org/abstract/document/9647449/,autonomous-robotic-iot,0
2021-smart-spectrum-and-radio-resource-manage,Smart spectrum and radio resource management for future 5G networks,ext:Miguel Lopez-Benitez|ext:Alessandro Raschella|ext:Sara Pizzi|ext:Li Wang|marco-di-felice|ext:Kaushik Roy Chowdhury,2021,Computer Networks,journal,https://doi.org/10.1016/J.COMNET.2021.108089,https://livrepository.liverpool.ac.uk/3119909/1/Editorial.pdf,edge-computing|autonomous-robotic-iot,0
2021-two-way-integration-of-service-oriented,Two-way integration of service-oriented systems-of-systems with the web of things,ivan-zyrianoff|lorenzo-gigli|federico-montori|carlos-alberto-kamienski|marco-di-felice,2021,Annual Conference of the IEEE Industrial Electronics Society,conference,https://doi.org/10.1109/IECON48115.2021.9589619,https://ieeexplore.ieee.org/abstract/document/9589619/,iot-interoperability,0
2021-wot-micro-servient,Wot micro servient: Bringing the w3c web of things to resource constrained edge devices,luca-sciullo|ivan-zyrianoff|angelo-trotta|marco-di-felice,2021,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP52413.2021.00042,https://ieeexplore.ieee.org/abstract/document/9556223/,iot-interoperability,1
